message_id,user_read_finish_time,username,round
00000000-0000-0000-0000-000000000000,2026-04-11 07:41:19.924000,a202400800501,4
ac19234b-2c9d-41b6-8083-d31008e2e60e,2026-04-11 07:52:13.801000,a202300630126,5
a2c2f2c8-0a8a-4f8d-8595-505683ac88fe,2026-04-11 07:52:16.534000,a202300630126,5
fac25c06-0dd4-47ef-8dfa-f3c39baf5072,2026-04-11 08:08:33.315000,a202300630050,6
1c385ea5-5822-4d2d-8e21-9471ab4a7079,2026-04-11 07:53:21.501000,a202300630126,5
838b1cf6-8d92-4f45-9cce-9d0e3acf107f,2026-04-11 07:41:16.364000,a202400800501,4
3cca0521-85ae-45ba-9e33-f2c7a85847fd,2026-04-11 07:14:41.738000,a202300800022,3
b1db38c7-6b5b-4815-9f8c-0cbc1600e8db,2026-04-11 07:41:17.772000,a202400800501,4
9ef946aa-b819-4023-a021-4c5f4723ad97,2026-04-11 07:41:14.512000,a202400800501,4
8cedba9d-c764-4386-a0f6-2036effed67a,2026-04-11 07:53:06.527000,a202400630081,5
8366399e-91cf-4e44-a135-a761a9a51853,2026-04-11 07:21:01.841000,a202400620243,3
865aa4fa-739e-4206-ada4-47f007563b26,2026-04-11 07:28:10.900000,a202400620243,3
c3695925-476c-4613-b831-0c38eeb76eb6,2026-04-11 07:32:33.279000,a202300800004,4
82d0671b-3da5-4432-abba-aa281b84ca28,2026-04-11 08:44:49.336000,a202500620273,8
