chat_id,start_time,topic,username,round
542e8ab8-d303-4018-adfd-0fdfa4e56ae6,2026-04-11 15:06:56,New Chat for user E001,E001,2
2aa9da6f-bdf4-4bec-96de-61a3c5e56e8c,2026-04-11 15:07:20,New Chat for user a202300620066,a202300620066,2
0ae2f3a5-dd53-4948-99ca-617b9d7a6111,2026-04-11 15:09:35,New Chat for user a202300620157,a202300620157,2
2bc25411-12b9-4349-a575-6f463b3b7aa6,2026-04-11 15:07:13,New Chat for user a202300620417,a202300620417,2
d6e9a9f5-62b9-4e02-b4b7-0c1f5281e5c7,2026-04-11 15:07:45,New Chat for user a202300630050,a202300630050,2
a2f08c83-9728-4e56-89d0-749d993f5e61,2026-04-11 15:07:25,New Chat for user a202300630126,a202300630126,2
ff5a34f1-7e61-4109-bc1c-58c443bd0a0b,2026-04-11 15:07:07,New Chat for user a202300630171,a202300630171,2
bade5b02-c4b0-4ed0-aa5f-197b8a002eba,2026-04-11 15:18:28,New Chat for user a202300630200,a202300630200,3
10255aa1-c2d1-4b0c-85dd-ccc0d8d3f6c5,2026-04-11 15:07:23,New Chat for user a202300630209,a202300630209,2
5d3d3d80-af4e-4127-a138-0e2e593cee9b,2026-04-11 15:08:27,New Chat for user a202300800004,a202300800004,2
a7677339-fe7c-4c94-a731-448e9d7823e0,2026-04-11 14:59:58,New Chat for user a202300800022,a202300800022,1
10513bfc-9e2b-440e-a178-164b7e16debe,2026-04-11 15:18:46,New Chat for user a202400620072,a202400620072,3
c69722c8-e4dd-47e5-9065-28957e0c9851,2026-04-11 15:07:51,New Chat for user a202400620158,a202400620158,2
6c29f208-9530-4f79-b503-aa9fdc87dfa1,2026-04-11 15:07:10,New Chat for user a202400620243,a202400620243,2
4e2cf0d9-cd29-4c39-a5b1-3fc8eb5daccd,2026-04-11 15:07:16,New Chat for user a202400620247,a202400620247,2
de2cb137-804b-44f0-a777-536cff762a10,2026-04-11 15:07:59,New Chat for user a202400630023,a202400630023,2
e7a3af30-f28a-49af-b3ee-8dcf9b244a2f,2026-04-11 15:07:31,New Chat for user a202400630081,a202400630081,2
7bbed500-c6aa-49a8-b08f-087441b501b6,2026-04-11 15:07:37,New Chat for user a202400640003,a202400640003,2
85a67d0c-f59e-4676-93a6-cf28c7ca7ec8,2026-04-11 15:07:18,New Chat for user a202400800501,a202400800501,2
2f965f7e-8333-4357-b617-0d2ee670ad30,2026-04-11 15:07:45,New Chat for user a202400810181,a202400810181,2
3e1ea7f1-4a2a-4710-9a8d-7e9a61fa45cc,2026-04-11 15:08:24,New Chat for user a202500620079,a202500620079,2
a9fd63c7-8d25-4d62-9bbe-92004062b1ab,2026-04-11 15:06:59,New Chat for user a202500620164,a202500620164,2
bde5325a-026d-463f-aa7f-815431ac9d98,2026-04-11 15:06:59,New Chat for user a202500620226,a202500620226,2
bfcba5fd-19aa-4c3f-8084-1b00780c39d0,2026-04-11 15:07:40,New Chat for user a202500620273,a202500620273,2
26e6ee3e-3e12-450b-abb5-c44632a8c4fa,2026-04-11 15:07:28,New Chat for user a202500620315,a202500620315,2
5ee806f4-d643-43f5-85c3-39c1c7867aa4,2026-04-11 15:06:56,New Chat for user a202500620324,a202500620324,2
63a8d9b6-0a6b-4680-b6a0-23c44debb76c,2026-04-11 15:07:36,New Chat for user a202500800390,a202500800390,2
6fabe90c-e361-4be8-a463-d683450ac6a4,2026-04-11 15:07:26,New Chat for user a202500810212,a202500810212,2
0bf12055-21ff-436d-9c20-8054804bd9fa,2026-04-11 15:12:04,New Chat for user a202537670,a202537670,2
fb6dd8ad-3b92-4824-a9ed-8e2c485e631d,2026-04-11 15:35:35,New Chat for user a202200800529,a202200800529,4
