username,url,time_stamp,round
a202500620164,https://aivl.glotrade.site/search/true?page=1,2026-04-11 17:10:07.426000,9
E001,https://aivl.glotrade.site/search/false?page=1,2026-04-11 15:04:32.437000,2
E001,https://aivl.glotrade.site/search/false?page=1&searchQuery=浴巾,2026-04-11 15:05:04.239000,2
E001,https://aivl.glotrade.site/search/false?page=1&searchQuery=浴巾,2026-04-11 15:05:38.132000,2
E001,https://aivl.glotrade.site/search/false?page=2,2026-04-11 15:04:40.172000,2
E001,https://aivl.glotrade.site/search/false?page=2,2026-04-11 15:04:53.682000,2
E001,https://aivl.glotrade.site/search/true?page=1,2026-04-11 14:51:16.766000,1
E001,https://aivl.glotrade.site/search/true?page=1,2026-04-11 14:52:18.667000,1
E001,https://aivl.glotrade.site/search/true?page=1,2026-04-11 14:53:12.014000,1
E001,https://aivl.glotrade.site/search/true?page=1,2026-04-11 14:55:06.686000,1
E001,https://aivl.glotrade.site/search/true?page=1,2026-04-11 15:06:21.983000,2
E001,https://aivl.glotrade.site/search/true?page=1,2026-04-11 15:06:21.997000,2
E001,https://aivl.glotrade.site/search/true?page=1,2026-04-11 15:08:45.004000,2
E001,https://aivl.glotrade.site/search/true?page=1&level1=11&level2=859528,2026-04-11 14:52:40.103000,1
E001,https://aivl.glotrade.site/search/true?page=1&level1=11&level2=859528,2026-04-11 14:53:01.934000,1
E001,https://aivl.glotrade.site/search/true?page=1&level1=11&level2=859528,2026-04-11 14:53:07.056000,1
E001,https://aivl.glotrade.site/search/true?page=1&searchQuery=8000000000000050,2026-04-11 14:55:41.512000,1
E001,https://aivl.glotrade.site/search/true?page=1&searchQuery=毛巾,2026-04-11 14:51:32.208000,1
E001,https://aivl.glotrade.site/search/true?page=1&searchQuery=毛巾,2026-04-11 14:51:48.825000,1
F002,https://aivl.glotrade.site/search/false?page=1,2026-04-11 15:04:04.095000,2
F002,https://aivl.glotrade.site/search/false?page=1,2026-04-11 15:04:55.635000,2
