username,duration,product_id,round,product,from_url
a202500620164,1121,a202500620164-1775898562.055066,9,"{""name"": ""哑光灰黑漆"", ""description"": ""黑色 灰色 室内涂料 Hummingbird（3.5升 热门色号） 哑光丙烯酸水性漆 灰黑色 水性室内涂料 Pastel loft 系列"", ""type"": -1, ""tags"": ""哑光涂料,水性漆,室内墙面漆,丙烯酸漆,灰黑色,浅灰色,高级灰,现代风格,北欧风,工业风,柔和色调,环保涂料,家居装饰,墙面翻新"", ""labels"": ""建筑用品"", ""imageUrl"": ""https://aivlml-cdn.glotrade.site/images_hk0126/1729447098221824599.jpeg"", ""brand"": """", ""category_id_path"": ""22.872968"", ""categories"": [{""id"": ""3ca62bef-bbb9-4f1f-ad60-af91c29bc4e8"", ""name"": ""哑光灰黑漆"", ""price"": 49.94, ""quantity"": 1, ""selected"": true, ""remaining_quantity"": 999999}], ""id"": ""a2b69393-35ae-4471-9d14-42448bf13b78"", ""round"": 9}",/search/true?page=1&searchQuery=%E5%93%91%E5%85%89%E7%81%B0%E9%BB%91%E6%BC%86
E001,1435,E001-1775890300.8777206,1,"{""name"": ""纳米毛巾"", ""description"": ""新款纳米毛巾 包邮"", ""type"": -1, ""tags"": ""家用,便携,实惠"", ""labels"": ""酒具"", ""imageUrl"": ""https://aivlml-cdn.glotrade.site/image_pre/8000000000000001.png"", ""brand"": """", ""category_id_path"": ""11.858888"", ""categories"": [{""id"": ""45d28d89-d8b2-4d69-a2e9-a46e2cd39b85"", ""name"": ""纳米毛巾"", ""price"": 13.25, ""quantity"": 1, ""selected"": true, ""remaining_quantity"": 999999}], ""id"": ""8e8d4043-047a-41ea-88b7-f46d5926d265"", ""round"": 1}",/search/true?page=1&searchQuery=%E6%AF%9B%E5%B7%BE
E001,4561,E001-1775890374.953559,1,"{""name"": ""纳米浴巾"", ""description"": ""新款纳米浴巾 包邮"", ""type"": -1, ""tags"": ""去污强,留香久,温和"", ""labels"": ""厨房器具"", ""imageUrl"": ""https://aivlml-cdn.glotrade.site/image_pre/8000000000000041.png"", ""brand"": """", ""category_id_path"": ""11.859528"", ""categories"": [{""id"": ""be2dd792-6982-4ff2-b5e0-6995cc7edbf2"", ""name"": ""纳米浴巾"", ""price"": 22.96, ""quantity"": 1, ""selected"": true, ""remaining_quantity"": 999999}], ""id"": ""37af7e39-6b2e-417a-a12d-5b1d7c220fab"", ""round"": 1}",/search/true?page=1&level1=11&level2=859528
E001,956,E001-1775890384.6377296,1,"{""name"": ""化妆品收纳"", ""description"": ""实用化妆品收纳 限时"", ""type"": -1, ""tags"": ""防滑,耐用,加厚"", ""labels"": ""厨房器具"", ""imageUrl"": ""https://aivlml-cdn.glotrade.site/image_pre/8000000000000076.png"", ""brand"": """", ""category_id_path"": ""11.859528"", ""categories"": [{""id"": ""ae714c01-f142-4d96-89bd-2669b1f5a2c7"", ""name"": ""化妆品收纳"", ""price"": 6.76, ""quantity"": 1, ""selected"": true, ""remaining_quantity"": 999999}], ""id"": ""a901267f-7f9f-493a-adc6-37d42ea10cab"", ""round"": 1}",/search/true?page=1&level1=11&level2=859528
E001,850,E001-1775890398.5383646,1,"{""name"": ""衣架夹"", ""description"": ""新款衣架夹 包邮"", ""type"": -1, ""tags"": ""大容量,经济装,囤货"", ""labels"": ""五金"", ""imageUrl"": ""https://aivlml-cdn.glotrade.site/image_pre/8000000000000081.png"", ""brand"": """", ""category_id_path"": ""21.872328"", ""categories"": [{""id"": ""142d82f5-a943-4ab9-99bd-b2b8531bab75"", ""name"": ""衣架夹"", ""price"": 26.7, ""quantity"": 1, ""selected"": true, ""remaining_quantity"": 999999}], ""id"": ""c995fa1d-ac18-4509-b8c6-1aa33ae8b99d"", ""round"": 1}",/search/true?page=1
E001,1086,E001-1775890497.5537593,1,"{""name"": ""衣架夹"", ""description"": ""新款衣架夹 包邮"", ""type"": -1, ""tags"": ""大容量,经济装,囤货"", ""labels"": ""五金"", ""imageUrl"": ""https://aivlml-cdn.glotrade.site/image_pre/8000000000000081.png"", ""brand"": """", ""category_id_path"": ""21.872328"", ""categories"": [{""id"": ""142d82f5-a943-4ab9-99bd-b2b8531bab75"", ""name"": ""衣架夹"", ""price"": 26.7, ""quantity"": 1, ""selected"": true, ""remaining_quantity"": 999999}], ""id"": ""d762c06d-059e-421d-a331-ccbcbc852fde"", ""round"": 1}",/profile
F002,1472,F002-1775890486.023175,1,"{""name"": ""雨衣雨裤"", ""description"": ""加厚雨衣雨裤 人气"", ""type"": -1, ""tags"": ""防水,防雨,户外"", ""labels"": ""即食食品"", ""imageUrl"": ""https://aivlml-cdn.glotrade.site/image_pre/8000000000000050.png"", ""brand"": """", ""category_id_path"": ""24.914952"", ""categories"": [{""id"": ""b79b0a4d-1ed2-4505-bb5e-59f252573390"", ""name"": ""雨衣雨裤"", ""price"": 26.51, ""quantity"": 1, ""selected"": true, ""remaining_quantity"": 999999}], ""id"": ""85805981-7153-4516-a3ff-168b35186daa"", ""round"": 1}",/search/true?page=1&searchQuery=8000000000000050
F002,1240,F002-1775890493.4582946,1,"{""name"": ""纳米毛巾2"", ""description"": ""便携纳米毛巾2 超值"", ""type"": -1, ""tags"": ""收纳,整理,省空间"", ""labels"": ""室内家具"", ""imageUrl"": ""https://aivlml-cdn.glotrade.site/image_pre/8000000000000097.png"", ""brand"": """", ""category_id_path"": ""20.871048"", ""categories"": [{""id"": ""0371d89b-7724-4689-8673-8843c512468a"", ""name"": ""纳米毛巾2"", ""price"": 19.58, ""quantity"": 1, ""selected"": true, ""remaining_quantity"": 999999}], ""id"": ""e1f87d79-9891-4956-88d7-a7549e8fd9a5"", ""round"": 1}",/search/true?page=1
F002,968,F002-1775890499.0334237,1,"{""name"": ""化妆品架"", ""description"": ""推荐化妆品架 好评如潮"", ""type"": -1, ""tags"": ""高性价比,热销,新品"", ""labels"": ""泵及管件设施"", ""imageUrl"": ""https://aivlml-cdn.glotrade.site/image_pre/8000000000000025.png"", ""brand"": """", ""category_id_path"": ""21.980488"", ""categories"": [{""id"": ""85004bf8-b298-4e44-bb5e-536ef36340b5"", ""name"": ""化妆品架"", ""price"": 17.23, ""quantity"": 1, ""selected"": true, ""remaining_quantity"": 999999}], ""id"": ""c29a4a7b-a9ae-49d3-9e54-6ed5b30122a9"", ""round"": 1}",/search/true?page=1
F002,1145,F002-1775890505.5560925,1,"{""name"": ""洁厕剂"", ""description"": ""热卖洁厕剂 现货"", ""type"": -1, ""tags"": ""高评分,回购多,口碑好"", ""labels"": ""女士内衣"", ""imageUrl"": ""https://aivlml-cdn.glotrade.site/image_pre/8000000000000082.png"", ""brand"": """", ""category_id_path"": ""2.842888"", ""categories"": [{""id"": ""dac8d176-cb5b-47cd-92fa-b489abbd38e0"", ""name"": ""洁厕剂"", ""price"": 24.28, ""quantity"": 1, ""selected"": true, ""remaining_quantity"": 999999}], ""id"": ""63e5056c-74f0-4b8e-be16-77e5b9f3965e"", ""round"": 1}",/search/true?page=1
