username,product_id,round,visit_time,leave_time
a202500620164,1729584146300832235,9,2026-04-11 17:10:08.257000,2026-04-11 17:10:10.937000
E001,8000000000000001,1,2026-04-11 14:51:37.726000,2026-04-11 14:51:48.739000
E001,8000000000000041,1,2026-04-11 14:52:45.203000,2026-04-11 14:53:01.753000
E001,8000000000000076,1,2026-04-11 14:53:02.817000,2026-04-11 14:53:06.883000
E001,8000000000000081,1,2026-04-11 14:53:16.684000,2026-04-11 14:53:20.873000
E001,8000000000000081,1,2026-04-11 14:54:55.147000,2026-04-11 14:55:01.276000
E001,b202300630186-1775890682.0690424,2,2026-04-11 15:04:51.308000,2026-04-11 15:04:53.575000
E001,b202300630252-1775890502.4187376,2,2026-04-11 15:05:10.784000,2026-04-11 15:05:24.364000
E001,b202300630252-1775890502.4187376,2,2026-04-11 15:05:37.100000,2026-04-11 15:05:38.034000
F002,8000000000000025,1,2026-04-11 14:54:56.963000,2026-04-11 14:55:01.553000
F002,8000000000000050,1,2026-04-11 14:54:42.607000,2026-04-11 14:54:48.497000
F002,8000000000000082,1,2026-04-11 14:55:03.413000,2026-04-11 14:55:11.273000
F002,8000000000000097,1,2026-04-11 14:54:51.282000,2026-04-11 14:54:55.608000
F002,b202400810248-1775890536.3195837,2,2026-04-11 15:04:45.442000,2026-04-11 15:04:50.929000
F002,b202400810248-1775890536.3195837,2,2026-04-11 15:04:54.856000,2026-04-11 15:04:55.547000
F003,1729429114630212087,9,2026-04-11 17:01:46.917000,2026-04-11 17:01:52.324000
F003,1729431180817369608,9,2026-04-11 17:03:59.812000,2026-04-11 17:04:04.356000
F003,1729498410309290045,9,2026-04-11 17:01:15.794000,2026-04-11 17:01:20.394000
F003,1729617842844109671,9,2026-04-11 17:02:29.653000,2026-04-11 17:02:34.163000
F003,1729643078414797473,8,2026-04-11 16:49:18.132000,2026-04-11 16:49:44.819000
F003,1729646117849762606,9,2026-04-11 16:58:53.806000,2026-04-11 16:58:55.921000
F003,1729658608795880322,8,2026-04-11 16:47:33.382000,2026-04-11 16:47:38.728000
F003,1729851643678722483,9,2026-04-11 17:06:52.139000,2026-04-11 17:06:56.832000
F003,1729858177955498178,9,2026-04-11 17:07:23.434000,2026-04-11 17:07:28.107000
F003,1729881464074766856,9,2026-04-11 17:04:50.969000,2026-04-11 17:04:53.625000
F003,1729912342513879946,8,2026-04-11 16:48:24.678000,2026-04-11 16:48:34.666000
F003,1730505062555290311,9,2026-04-11 17:01:22.414000,2026-04-11 17:01:26.771000
